Experiment of CPU usage start time:  Sat Sep 5 23:32:34 UTC 2020
Linux 4.15.0-101-generic (obelix53.cs.umass.edu) 	09/05/20 	_x86_64_	(32 CPU)

23:32:34        CPU     %user     %nice   %system   %iowait    %steal     %idle
23:32:37        all     33.30      0.00      0.18      0.01      0.00     66.51
23:32:37          0     99.67      0.00      0.33      0.00      0.00      0.00
23:32:37          1     33.57      0.00      0.36      0.00      0.00     65.70
23:32:37          2    100.00      0.00      0.00      0.00      0.00      0.00
23:32:37          3     33.33      0.00      1.40      0.00      0.00     65.26
23:32:37          4    100.00      0.00      0.00      0.00      0.00      0.00
23:32:37          5    100.00      0.00      0.00      0.00      0.00      0.00
23:32:37          6     33.81      0.00      0.36      0.00      0.00     65.84
23:32:37          7    100.00      0.00      0.00      0.00      0.00      0.00
23:32:37          8     99.34      0.00      0.33      0.00      0.00      0.00
23:32:37          9    100.00      0.00      0.00      0.00      0.00      0.00
23:32:37         10     31.21      0.00      0.35      0.00      0.00     68.09
23:32:37         11     33.45      0.00      0.36      0.00      0.00     66.19
23:32:37         12     32.63      0.00      0.35      0.00      0.00     66.67
23:32:37         13    100.00      0.00      0.00      0.00      0.00      0.00
23:32:37         14     32.38      0.00      0.71      0.00      0.00     66.90
23:32:37         15     33.10      0.00      0.36      0.00      0.00     66.55
23:32:37         16      0.34      0.00      0.34      0.00      0.00     99.33
23:32:37         17      0.00      0.00      0.00      0.33      0.00     99.67
23:32:37         18      0.00      0.00      0.00      0.00      0.00    100.00
23:32:37         19      0.00      0.00      0.00      0.00      0.00    100.00
23:32:37         20      0.00      0.00      0.00      0.00      0.00    100.00
23:32:37         21      0.00      0.00      0.00      0.00      0.00    100.00
23:32:37         22      0.00      0.00      0.00      0.00      0.00    100.00
23:32:37         23      0.00      0.00      0.00      0.00      0.00    100.00
23:32:37         24      0.00      0.00      0.00      0.00      0.00    100.00
23:32:37         25      0.00      0.00      0.00      0.00      0.00    100.00
23:32:37         26      0.00      0.00      0.67      0.00      0.00     99.33
23:32:37         27      0.00      0.00      0.00      0.00      0.00    100.00
23:32:37         28      0.00      0.00      0.00      0.00      0.00    100.00
23:32:37         29      0.00      0.00      0.00      0.00      0.00    100.00
23:32:37         30      0.33      0.00      0.33      0.00      0.00     99.33
23:32:37         31      0.00      0.00      0.00      0.00      0.00    100.00

23:32:37        CPU     %user     %nice   %system   %iowait    %steal     %idle
23:32:40        all     35.73      0.00      0.46      0.00      0.00     63.81
23:32:40          0    100.00      0.00      0.00      0.00      0.00      0.00
23:32:40          1     39.58      0.00      0.71      0.00      0.00     59.72
23:32:40          2    100.00      0.00      0.00      0.00      0.00      0.00
23:32:40          3     37.98      0.00      1.05      0.00      0.00     60.98
23:32:40          4    100.00      0.00      0.00      0.00      0.00      0.00
23:32:40          5    100.00      0.00      0.00      0.00      0.00      0.00
23:32:40          6     39.58      0.00      0.35      0.00      0.00     59.72
23:32:40          7    100.00      0.00      0.00      0.00      0.00      0.00
23:32:40          8    100.00      0.00      0.00      0.00      0.00      0.00
23:32:40          9     99.67      0.00      0.33      0.00      0.00      0.00
23:32:40         10     41.18      0.00      0.69      0.00      0.00     58.13
23:32:40         11     40.70      0.00      0.70      0.00      0.00     58.60
23:32:40         12     37.76      0.00      0.00      0.00      0.00     62.24
23:32:40         13    100.00      0.00      0.00      0.00      0.00      0.00
23:32:40         14     43.16      0.00      0.00      0.00      0.00     56.84
23:32:40         15     41.81      0.00      0.70      0.00      0.00     57.49
23:32:40         16      0.00      0.00      0.00      0.00      0.00    100.00
23:32:40         17      1.00      0.00      0.67      0.00      0.00     98.33
