Experiment of CPU usage start time:  Sun Sep 6 02:57:08 UTC 2020
Linux 4.15.0-101-generic (obelix53.cs.umass.edu) 	09/06/20 	_x86_64_	(32 CPU)

02:57:08        CPU     %user     %nice   %system   %iowait    %steal     %idle
02:57:11        all     25.02      0.00      0.07      0.00      0.00     74.91
02:57:11          0     99.67      0.00      0.00      0.00      0.00      0.00
02:57:11          1    100.00      0.00      0.00      0.00      0.00      0.00
02:57:11          2    100.00      0.00      0.00      0.00      0.00      0.00
02:57:11          3    100.00      0.00      0.00      0.00      0.00      0.00
02:57:11          4     99.67      0.00      0.33      0.00      0.00      0.00
02:57:11          5    100.00      0.00      0.00      0.00      0.00      0.00
02:57:11          6     99.67      0.00      0.33      0.00      0.00      0.00
02:57:11          7    100.00      0.00      0.00      0.00      0.00      0.00
02:57:11          8      0.00      0.00      0.00      0.00      0.00    100.00
02:57:11          9      0.00      0.00      0.00      0.00      0.00    100.00
02:57:11         10      0.33      0.00      1.32      0.00      0.00     98.34
02:57:11         11      0.00      0.00      0.00      0.00      0.00    100.00
02:57:11         12      0.00      0.00      0.00      0.00      0.00    100.00
02:57:11         13      0.00      0.00      0.00      0.00      0.00    100.00
02:57:11         14      0.00      0.00      0.00      0.00      0.00    100.00
02:57:11         15      0.00      0.00      0.00      0.00      0.00    100.00
02:57:11         16      0.33      0.00      0.00      0.00      0.00     99.67
02:57:11         17      0.00      0.00      0.00      0.00      0.00    100.00
02:57:11         18      0.00      0.00      0.00      0.00      0.00    100.00
02:57:11         19      0.00      0.00      0.34      0.00      0.00     99.66
02:57:11         20      0.00      0.00      0.00      0.00      0.00    100.00
02:57:11         21      0.00      0.00      0.00      0.00      0.00    100.00
02:57:11         22      0.00      0.00      0.00      0.00      0.00    100.00
02:57:11         23      0.00      0.00      0.00      0.00      0.00    100.00
02:57:11         24      0.00      0.00      0.00      0.00      0.00    100.00
02:57:11         25      0.00      0.00      0.00      0.00      0.00    100.00
02:57:11         26      0.00      0.00      0.00      0.00      0.00    100.00
02:57:11         27      0.00      0.00      0.00      0.00      0.00    100.00
02:57:11         28      0.00      0.00      0.00      0.00      0.00    100.00
02:57:11         29      0.00      0.00      0.00      0.00      0.00    100.00
02:57:11         30      0.00      0.00      0.00      0.00      0.00    100.00
02:57:11         31      0.33      0.00      0.00      0.00      0.00     99.67

02:57:11        CPU     %user     %nice   %system   %iowait    %steal     %idle
02:57:14        all     25.68      0.00      0.71      0.01      0.00     73.60
02:57:14          0     99.67      0.00      0.33      0.00      0.00      0.00
02:57:14          1    100.00      0.00      0.00      0.00      0.00      0.00
02:57:14          2     99.67      0.00      0.00      0.00      0.00      0.00
02:57:14          3     99.67      0.00      0.33      0.00      0.00      0.00
02:57:14          4     99.67      0.00      0.00      0.00      0.00      0.00
02:57:14          5     99.67      0.00      0.33      0.00      0.00      0.00
02:57:14          6    100.00      0.00      0.00      0.00      0.00      0.00
02:57:14          7     99.33      0.00      0.33      0.00      0.00      0.00
02:57:14          8      0.62      0.00      8.00      0.00      0.00     91.38
02:57:14          9      0.33      0.00      1.66      0.00      0.00     98.01
02:57:14         10      0.66      0.00      1.99      0.00      0.00     97.35
02:57:14         11      0.67      0.00      0.33      0.00      0.00     99.00
02:57:14         12      0.00      0.00      0.67      0.00      0.00     99.33
02:57:14         13      0.33      0.00      0.66      0.00      0.00     99.00
02:57:14         14      2.67      0.00      1.00      0.00      0.00     96.33
02:57:14         15      0.33      0.00      0.66      0.00      0.00     99.01
02:57:14         16      1.33      0.00      0.67      0.00      0.00     98.00
02:57:14         17      0.33      0.00      0.00      0.00      0.00     99.67
02:57:14         18      0.00      0.00      0.00      0.00      0.00    100.00
02:57:14         19      0.00      0.00      0.00      0.00      0.00    100.00
02:57:14         20      0.00      0.00      0.00      0.00      0.00    100.00
02:57:14         21      0.00      0.00      0.00      0.00      0.00    100.00
02:57:14         22      0.00      0.00      0.00      0.00      0.00    100.00
02:57:14         23      0.00      0.00      0.00      0.00      0.00    100.00
02:57:14         24      1.00      0.00      0.33      0.00      0.00     98.66
02:57:14         25      0.33      0.00      0.33      0.00      0.00     99.33
02:57:14         26      0.34      0.00      0.00      0.00      0.00     99.66
02:57:14         27      2.01      0.00      0.67      0.00      0.00     97.32
02:57:14         28      0.33      0.00      0.33      0.00      0.00     99.33
02:57:14         29      8.00      0.00      1.67      0.00      0.00     90.33
02:57:14         30      1.99      0.00      1.00      0.00      0.00     97.01
02:57:14         31      5.02      0.00      1.00      0.00      0.00     93.98

02:57:14        CPU     %user     %nice   %system   %iowait    %steal     %idle
02:57:17        all     25.01      0.00      0.13      0.00      0.00     74.87
02:57:17          0     99.67      0.00      0.33      0.00      0.00      0.00
02:57:17          1     99.67      0.00      0.33      0.00      0.00      0.00
02:57:17          2    100.00      0.00      0.00      0.00      0.00      0.00
02:57:17          3    100.00      0.00      0.00      0.00      0.00      0.00
02:57:17          4     99.67      0.00      0.33      0.00      0.00      0.00
02:57:17          5    100.00      0.00      0.00      0.00      0.00      0.00
02:57:17          6     99.67      0.00      0.33      0.00      0.00      0.00
02:57:17          7    100.00      0.00      0.00      0.00      0.00      0.00
02:57:17          8      0.00      0.00      0.00      0.00      0.00    100.00
02:57:17          9      0.00      0.00      0.00      0.00      0.00    100.00
02:57:17         10      0.33      0.00      1.00      0.00      0.00     98.67
02:57:17         11      0.00      0.00      0.00      0.00      0.00    100.00
02:57:17         12      0.00      0.00      0.00      0.00      0.00    100.00
02:57:17         13      0.00      0.00      0.00      0.00      0.00    100.00
02:57:17         14      0.00      0.00      0.00      0.00      0.00    100.00
02:57:17         15      0.00      0.00      0.00      0.00      0.00    100.00
02:57:17         16      0.00      0.00      0.33      0.00      0.00     99.67
02:57:17         17      0.00      0.00      0.00      0.00      0.00    100.00
02:57:17         18      0.00      0.00      0.00      0.00      0.00    100.00
02:57:17         19      0.00      0.00      2.02      0.00      0.00     97.98
02:57:17         20      0.00      0.00      0.00      0.00      0.00    100.00
02:57:17         21      0.00      0.00      0.00      0.00      0.00    100.00
02:57:17         22      0.00      0.00      0.00      0.00      0.00    100.00
02:57:17         23      0.00      0.00      0.00      0.00      0.00    100.00
02:57:17         24      0.00      0.00      0.33      0.00      0.00     99.67
02:57:17         25      0.00      0.00      0.00      0.00      0.00    100.00
02:57:17         26      0.00      0.00      0.00      0.00      0.00    100.00
02:57:17         27      0.00      0.00      0.00      0.00      0.00    100.00
02:57:17         28      0.00      0.00      0.00      0.00      0.00    100.00
02:57:17         29      0.00      0.00      0.00      0.00      0.00    100.00
02:57:17         30      0.00      0.00      0.00      0.00      0.00    100.00
02:57:17         31      0.00      0.00      0.00      0.00      0.00    100.00

02:57:17        CPU     %user     %nice   %system   %iowait    %steal     %idle
02:57:20        all     25.01      0.00      0.29      0.00      0.00     74.70
02:57:20          0    100.00      0.00      0.00      0.00      0.00      0.00
02:57:20          1    100.00      0.00      0.00      0.00      0.00      0.00
02:57:20          2     99.67      0.00      0.33      0.00      0.00      0.00
02:57:20          3    100.00      0.00      0.00      0.00      0.00      0.00
02:57:20          4    100.00      0.00      0.00      0.00      0.00      0.00
02:57:20          5    100.00      0.00      0.00      0.00      0.00      0.00
02:57:20          6    100.00      0.00      0.00      0.00      0.00      0.00
02:57:20          7    100.00      0.00      0.00      0.00      0.00      0.00
02:57:20          8      0.00      0.00      5.10      0.00      0.00     94.90
02:57:20          9      0.00      0.00      0.00      0.00      0.00    100.00
02:57:20         10      0.00      0.00      1.00      0.00      0.00     99.00
02:57:20         11      0.00      0.00      0.00      0.00      0.00    100.00
02:57:20         12      0.00      0.00      0.00      0.00      0.00    100.00
02:57:20         13      0.00      0.00      0.33      0.00      0.00     99.67
02:57:20         14      0.00      0.00      0.00      0.00      0.00    100.00
02:57:20         15      0.00      0.00      0.00      0.00      0.00    100.00
02:57:20         16      0.00      0.00      0.00      0.00      0.00    100.00
02:57:20         17      0.00      0.00      0.00      0.00      0.00    100.00
02:57:20         18      0.00      0.00      0.00      0.00      0.00    100.00
02:57:20         19      0.00      0.00      0.67      0.00      0.00     99.33
02:57:20         20      0.00      0.00      0.00      0.00      0.00    100.00
02:57:20         21      0.00      0.00      0.00      0.00      0.00    100.00
02:57:20         22      0.33      0.00      0.00      0.00      0.00     99.67
02:57:20         23      0.00      0.00      0.33      0.00      0.00     99.67
02:57:20         24      0.00      0.00      0.00      0.00      0.00    100.00
02:57:20         25      0.33      0.00      0.33      0.00      0.00     99.33
02:57:20         26      0.00      0.00      0.00      0.00      0.00    100.00
02:57:20         27      0.00      0.00      0.00      0.00      0.00    100.00
02:57:20         28      0.00      0.00      0.33      0.00      0.00     99.67
02:57:20         29      0.00      0.00      0.00      0.00      0.00    100.00
02:57:20         30      0.00      0.00      0.00      0.00      0.00    100.00
02:57:20         31      0.33      0.00      0.33      0.00      0.00     99.34

02:57:20        CPU     %user     %nice   %system   %iowait    %steal     %idle
02:57:23        all     24.96      0.00      0.08      0.00      0.00     74.95
02:57:23          0     99.67      0.00      0.33      0.00      0.00      0.00
02:57:23          1    100.00      0.00      0.00      0.00      0.00      0.00
02:57:23          2     99.33      0.00      0.67      0.00      0.00      0.00
02:57:23          3     99.67      0.00      0.33      0.00      0.00      0.00
02:57:23          4    100.00      0.00      0.00      0.00      0.00      0.00
02:57:23          5    100.00      0.00      0.00      0.00      0.00      0.00
02:57:23          6    100.00      0.00      0.00      0.00      0.00      0.00
02:57:23          7    100.00      0.00      0.00      0.00      0.00      0.00
