Experiment of CPU usage start time:  Sat Sep 5 03:25:45 UTC 2020
Linux 4.15.0-101-generic (obelix53.cs.umass.edu) 	09/05/20 	_x86_64_	(32 CPU)

03:25:45        CPU     %user     %nice   %system   %iowait    %steal     %idle
03:25:48        all     70.24      0.00      6.14      0.00      0.00     23.62
03:25:48          0     71.53      0.00      5.76      0.00      0.00     22.71
03:25:48          1     79.07      0.00      6.98      0.00      0.00     13.95
03:25:48          2     72.91      0.00      4.35      0.00      0.00     22.74
03:25:48          3     69.97      0.00      6.83      0.00      0.00     23.21
03:25:48          4     73.90      0.00      7.12      0.00      0.00     18.98
03:25:48          5     69.36      0.00      7.74      0.00      0.00     22.90
03:25:48          6     72.54      0.00      4.75      0.00      0.00     22.71
03:25:48          7     70.03      0.00      6.06      0.00      0.00     23.91
03:25:48          8     74.49      0.00      6.12      0.00      0.00     19.39
03:25:48          9     76.11      0.00      5.80      0.00      0.00     18.09
03:25:48         10     72.15      0.00      5.03      0.00      0.00     22.48
03:25:48         11     56.71      0.00      6.71      0.00      0.00     36.58
03:25:48         12     65.54      0.00      5.74      0.00      0.00     28.72
03:25:48         13     70.61      0.00      4.73      0.00      0.00     24.66
03:25:48         14     71.09      0.00      5.10      0.00      0.00     23.81
03:25:48         15     71.67      0.00      4.78      0.00      0.00     23.55
03:25:48         16     72.88      0.00      6.78      0.00      0.00     20.34
03:25:48         17     70.85      0.00      6.44      0.00      0.00     22.37
03:25:48         18     67.69      0.00      5.10      0.00      0.00     27.21
03:25:48         19     70.65      0.00      5.46      0.00      0.00     23.89
03:25:48         20     68.92      0.00      6.42      0.00      0.00     24.32
03:25:48         21     72.48      0.00      7.05      0.00      0.00     20.47
03:25:48         22     67.68      0.00      6.73      0.00      0.00     25.59
03:25:48         23     64.31      0.00      6.73      0.00      0.00     28.96
03:25:48         24     69.49      0.00      6.10      0.00      0.00     24.41
03:25:48         25     72.51      0.00      6.87      0.00      0.00     20.62
03:25:48         26     65.66      0.00      7.41      0.00      0.00     26.60
03:25:48         27     68.33      0.00      6.67      0.00      0.00     25.00
03:25:48         28     64.21      0.00      6.02      0.00      0.00     29.77
03:25:48         29     67.67      0.00      9.67      0.00      0.00     22.33
03:25:48         30     73.06      0.00      5.72      0.00      0.00     20.88
03:25:48         31     72.09      0.00      3.32      0.00      0.00     24.58

03:25:48        CPU     %user     %nice   %system   %iowait    %steal     %idle
03:25:51        all     69.62      0.00      5.45      0.00      0.00     24.93
03:25:51          0     69.70      0.00      3.37      0.00      0.00     26.94
03:25:51          1     75.42      0.00      4.71      0.00      0.00     19.87
03:25:51          2     65.76      0.00      3.05      0.00      0.00     31.19
03:25:51          3     76.69      0.00      6.76      0.00      0.00     16.55
03:25:51          4     68.67      0.00      6.00      0.00      0.00     25.33
03:25:51          5     72.11      0.00      6.46      0.00      0.00     21.43
03:25:51          6     73.15      0.00      6.04      0.00      0.00     20.81
03:25:51          7     61.69      0.00      6.78      0.00      0.00     31.53
03:25:51          8     76.08      0.00      5.65      0.00      0.00     18.27
03:25:51          9     70.17      0.00      4.07      0.00      0.00     25.76
03:25:51         10     75.85      0.00      4.76      0.00      0.00     19.39
03:25:51         11     57.63      0.00      6.10      0.00      0.00     36.27
03:25:51         12     73.65      0.00      5.41      0.00      0.00     20.95
03:25:51         13     67.91      0.00      6.08      0.00      0.00     26.01
03:25:51         14     70.00      0.00      2.33      0.00      0.00     27.67
03:25:51         15     69.74      0.00      5.59      0.00      0.00     24.67
03:25:51         16     71.72      0.00      6.06      0.00      0.00     22.22
03:25:51         17     54.83      0.00      6.21      0.00      0.00     38.97
03:25:51         18     62.63      0.00      5.72      0.00      0.00     31.65
03:25:51         19     47.47      0.00      2.69      0.00      0.00     49.83
03:25:51         20     72.64      0.00      6.42      0.00      0.00     20.95
03:25:51         21     77.97      0.00      5.76      0.00      0.00     16.27
03:25:51         22     74.66      0.00      6.08      0.00      0.00     19.26
03:25:51         23     55.25      0.00      6.44      0.00      0.00     38.31
03:25:51         24     77.97      0.00      2.03      0.00      0.00     20.00
03:25:51         25     80.27      0.00      5.35      0.00      0.00     14.38
03:25:51         26     74.91      0.00      5.50      0.00      0.00     19.59
03:25:51         27     68.37      0.00      7.14      0.00      0.00     24.49
