Experiment of CPU usage start time:  Sat Sep 5 19:08:10 UTC 2020
Linux 4.15.0-101-generic (obelix53.cs.umass.edu) 	09/05/20 	_x86_64_	(32 CPU)

19:08:10        CPU     %user     %nice   %system   %iowait    %steal     %idle
19:08:13        all     24.65      0.00      0.25      0.00      0.00     75.10
19:08:13          0     98.67      0.00      0.33      0.00      0.00      1.00
19:08:13          1     98.00      0.00      0.00      0.00      0.00      2.00
19:08:13          2     99.00      0.00      0.00      0.00      0.00      1.00
19:08:13          3     98.00      0.00      0.67      0.00      0.00      1.00
19:08:13          4     99.00      0.00      0.33      0.00      0.00      0.67
19:08:13          5     98.33      0.00      1.00      0.00      0.00      0.33
19:08:13          6     98.34      0.00      0.33      0.00      0.00      1.33
19:08:13          7     97.99      0.00      0.00      0.00      0.00      2.01
19:08:13          8      0.00      0.00      1.00      0.00      0.00     99.00
19:08:13          9      0.00      0.00      0.00      0.00      0.00    100.00
19:08:13         10      0.00      0.00      0.00      0.00      0.00    100.00
19:08:13         11      0.00      0.00      0.00      0.00      0.00    100.00
19:08:13         12      0.00      0.00      0.00      0.00      0.00    100.00
19:08:13         13      0.00      0.00      0.00      0.00      0.00    100.00
19:08:13         14      0.00      0.00      0.00      0.00      0.00    100.00
19:08:13         15      0.00      0.00      0.33      0.00      0.00     99.67
19:08:13         16      0.00      0.00      1.36      0.00      0.00     98.64
19:08:13         17      0.00      0.00      0.00      0.00      0.00    100.00
19:08:13         18      0.00      0.00      0.00      0.00      0.00    100.00
19:08:13         19      0.00      0.00      0.00      0.00      0.00    100.00
19:08:13         20      0.00      0.00      0.00      0.00      0.00    100.00
19:08:13         21      0.00      0.00      0.00      0.00      0.00    100.00
19:08:13         22      0.00      0.00      0.00      0.00      0.00    100.00
19:08:13         23      0.00      0.00      0.00      0.00      0.00    100.00
19:08:13         24      0.33      0.00      0.33      0.00      0.00     99.33
19:08:13         25      0.00      0.00      0.00      0.00      0.00    100.00
19:08:13         26      0.34      0.00      0.68      0.00      0.00     98.99
19:08:13         27      0.00      0.00      0.00      0.00      0.00    100.00
19:08:13         28      0.33      0.00      0.00      0.00      0.00     99.67
19:08:13         29      0.00      0.00      0.00      0.00      0.00    100.00
19:08:13         30      0.00      0.00      0.00      0.00      0.00    100.00
19:08:13         31      0.00      0.00      0.00      0.00      0.00    100.00

19:08:13        CPU     %user     %nice   %system   %iowait    %steal     %idle
19:08:16        all     25.00      0.00      0.68      0.00      0.00     74.32
19:08:16          0     98.67      0.00      0.33      0.00      0.00      0.67
19:08:16          1     97.32      0.00      0.67      0.00      0.00      2.01
19:08:16          2     96.31      0.00      0.00      0.00      0.00      3.69
19:08:16          3     97.32      0.00      0.67      0.00      0.00      2.01
19:08:16          4     97.98      0.00      0.00      0.00      0.00      2.02
19:08:16          5     97.65      0.00      1.01      0.00      0.00      1.34
19:08:16          6     98.00      0.00      0.33      0.00      0.00      1.67
19:08:16          7     97.33      0.00      1.00      0.00      0.00      1.67
19:08:16          8      1.32      0.00      2.32      0.00      0.00     96.36
19:08:16          9      0.33      0.00      1.32      0.00      0.00     98.34
19:08:16         10      1.67      0.00      0.67      0.00      0.00     97.66
19:08:16         11      0.33      0.00      0.99      0.00      0.00     98.68
19:08:16         12      1.67      0.00      0.67      0.00      0.00     97.67
19:08:16         13      0.00      0.00      2.29      0.00      0.00     97.71
19:08:16         14      0.00      0.00      0.67      0.00      0.00     99.33
19:08:16         15      0.66      0.00      0.33      0.00      0.00     99.00
19:08:16         16      0.34      0.00      1.36      0.00      0.00     98.31
19:08:16         17      5.67      0.00      0.33      0.00      0.00     94.00
19:08:16         18      0.00      0.00      0.00      0.00      0.00    100.00
19:08:16         19      0.00      0.00      0.00      0.00      0.00    100.00
19:08:16         20      0.33      0.00      0.33      0.00      0.00     99.34
19:08:16         21      0.00      0.00      0.00      0.00      0.00    100.00
19:08:16         22      0.00      0.00      0.00      0.00      0.00    100.00
19:08:16         23      0.00      0.00      0.00      0.00      0.00    100.00
19:08:16         24      0.67      0.00      1.00      0.00      0.00     98.33
19:08:16         25      6.31      0.00      2.33      0.00      0.00     91.36
19:08:16         26      0.34      0.00      1.35      0.00      0.00     98.31
19:08:16         27      0.33      0.00      0.00      0.00      0.00     99.67
19:08:16         28      0.33      0.00      0.33      0.00      0.00     99.33
19:08:16         29      1.66      0.00      1.33      0.00      0.00     97.01
19:08:16         30      0.33      0.00      0.00      0.00      0.00     99.67
19:08:16         31      0.33      0.00      0.00      0.00      0.00     99.67

19:08:16        CPU     %user     %nice   %system   %iowait    %steal     %idle
19:08:19        all     24.11      0.00      0.14      0.00      0.00     75.75
19:08:19          0     97.67      0.00      0.33      0.00      0.00      2.00
19:08:19          1     93.65      0.00      0.33      0.00      0.00      6.02
19:08:19          2     97.67      0.00      0.33      0.00      0.00      1.67
19:08:19          3     97.00      0.00      0.33      0.00      0.00      2.67
19:08:19          4     96.99      0.00      0.33      0.00      0.00      2.68
19:08:19          5     96.00      0.00      1.00      0.00      0.00      2.67
19:08:19          6     95.99      0.00      0.00      0.00      0.00      4.01
19:08:19          7     95.30      0.00      0.00      0.00      0.00      4.70
19:08:19          8      0.00      0.00      0.00      0.00      0.00    100.00
19:08:19          9      0.33      0.00      0.00      0.00      0.00     99.67
19:08:19         10      0.00      0.00      0.00      0.00      0.00    100.00
19:08:19         11      0.00      0.00      0.00      0.00      0.00    100.00
19:08:19         12      0.00      0.00      0.00      0.00      0.00    100.00
19:08:19         13      0.00      0.00      0.00      0.00      0.00    100.00
19:08:19         14      0.00      0.00      0.00      0.00      0.00    100.00
19:08:19         15      0.00      0.00      0.00      0.00      0.00    100.00
19:08:19         16      0.00      0.00      0.68      0.00      0.00     99.32
19:08:19         17      0.00      0.00      0.00      0.00      0.00    100.00
19:08:19         18      0.00      0.00      0.00      0.00      0.00    100.00
19:08:19         19      0.00      0.00      0.00      0.00      0.00    100.00
19:08:19         20      0.00      0.00      0.00      0.00      0.00    100.00
19:08:19         21      0.00      0.00      0.00      0.00      0.00    100.00
19:08:19         22      0.00      0.00      0.00      0.00      0.00    100.00
19:08:19         23      0.00      0.00      0.00      0.00      0.00    100.00
19:08:19         24      0.33      0.00      0.67      0.00      0.00     99.00
19:08:19         25      0.00      0.00      0.00      0.00      0.00    100.00
19:08:19         26      0.00      0.00      0.68      0.00      0.00     99.32
19:08:19         27      0.00      0.00      0.00      0.00      0.00    100.00
19:08:19         28      0.00      0.00      0.00      0.00      0.00    100.00
19:08:19         29      0.00      0.00      0.00      0.00      0.00    100.00
19:08:19         30      0.00      0.00      0.00      0.00      0.00    100.00
19:08:19         31      0.00      0.00      0.00      0.00      0.00    100.00

19:08:19        CPU     %user     %nice   %system   %iowait    %steal     %idle
19:08:22        all     24.34      0.00      0.40      0.00      0.00     75.26
19:08:22          0     96.68      0.00      1.00      0.00      0.00      2.33
19:08:22          1     96.99      0.00      0.33      0.00      0.00      2.68
19:08:22          2     97.32      0.00      0.67      0.00      0.00      2.01
19:08:22          3     95.67      0.00      1.33      0.00      0.00      3.00
19:08:22          4     96.01      0.00      1.00      0.00      0.00      2.99
19:08:22          5     97.67      0.00      0.67      0.00      0.00      1.67
19:08:22          6     97.34      0.00      1.33      0.00      0.00      1.33
19:08:22          7     97.67      0.00      0.33      0.00      0.00      2.00
19:08:22          8      0.33      0.00      1.00      0.00      0.00     98.67
19:08:22          9      0.00      0.00      0.34      0.00      0.00     99.66
19:08:22         10      0.33      0.00      0.33      0.00      0.00     99.34
19:08:22         11      0.00      0.00      1.32      0.00      0.00     98.68
19:08:22         12      0.00      0.00      0.00      0.00      0.00    100.00
19:08:22         13      0.33      0.00      0.00      0.00      0.00     99.67
19:08:22         14      0.00      0.00      0.33      0.00      0.00     99.67
19:08:22         15      0.00      0.00      0.00      0.00      0.00    100.00
19:08:22         16      0.00      0.00      1.02      0.00      0.00     98.98
19:08:22         17      0.00      0.00      0.00      0.00      0.00    100.00
19:08:22         18      0.00      0.00      0.00      0.00      0.00    100.00
19:08:22         19      0.33      0.00      0.00      0.00      0.00     99.67
19:08:22         20      0.00      0.00      0.00      0.00      0.00    100.00
19:08:22         21      0.00      0.00      0.00      0.00      0.00    100.00
19:08:22         22      0.00      0.00      0.34      0.00      0.00     99.66
19:08:22         23      0.00      0.00      0.00      0.00      0.00    100.00
